-	nun.	aik	ik	-on	我
-	nun.	dai	di	-on	你
a	nun.	ai	i	-on	它；她；他
sa	num.	si	se	-ss	这；这个
ra	num.	ri	re	-ss	那；那个
sak	num.	sik	sek	-on	这里
rak	num.	rik	rek	-on	那里
ques	tob.	-	-	-	什么
ques sezz	tob.	-	-	-	谁，什么人
ques nalabon	tob.	-	-	-	什么东西
ques beluk	tob.	-	-	-	哪里，什么地方
ques duoma	tob.	-	-	-	何时，什么地方
ques ahin	tob.	-	-	-	如何，什么方法
plik	tob.	-	-	-	几，几个，多少
din	ant.	-	-	-	一
qots	ant.	-	-	-	二
tssuo	ant.	-	-	-	三
gnuo	ant.	-	-	-	四
pol	ant.	-	-	-	五
zuo	ant.	-	-	-	六
mog	ant.	-	-	-	七
ssuo	ant.	-	-	-	八
do	ant.	-	-	-	九
hak	ant.	-	-	-	十
guht	bit.	-ik	-ek	-	大，大的
qais	bit.	-i	-e	-	小，小的
mot	bit.	-aub	-is	-	宽，宽的
ann	bit.	-i	-e	-	窄，窄的
tukh	bit.	-ik	-ek	-	厚，厚的
pet	bit.	-ik	-ek	-	长，长的
quts	bit.	-ik	-ek	-	短，短的
teeekh	bit.	-ik	-ek	-	重，重的
ban	bit.	-lit	-klop	-	轻，轻的
pordo	bit.	-lit	-klop	-	暖，暖的，暖和，暖和的；温热，温热的
qaltikh	bit.	-ik	-ek	-	冷，冷的，寒冷的；凉，凉的
puslant	bit.	-i	-e	-	满，满的
naikh	bit.	-i	-e	-	新，新的，崭新，崭新的
aidio	bit.	-lit	-klop	-	旧，旧的，老旧，老旧的；破旧，破旧的，破损，破损的
blashio	bit.	-les	-las	-	好，好的，棒
zinst	bit.	-ik	-ek	-	坏，坏的
pehot	bit.	-ik	-ek	-	腐烂，腐败，变质，腐烂的，腐败的，变质的；有毒的
tsaikh	bit.	-aub	-is	-	脏，脏的
gladia	bit.	-plaub	-mis	-	直，直的，直线的
hunt	bit.	-aub	-is	-	圆，圆的，圆形的
tsait	bit.	-oit	-op	-	尖，尖的，尖锐，尖锐的；锐角的
galit	bit.	-ik	-ek	-	钝，钝的；钝角的
pess	bit.	-aub	-is	-	湿，潮湿，湿的，潮湿的
toscin	bit.	-oit	-op	-	干，干燥，干燥的，干的
aihtinn	bit.	-oit	-op	-	对，对的，正确，正确的
biht	bit.	-aub	-is	-	错，错的，错误，错误的
niekh	bit.	-ik	-ek	-	近，近的，近处的
escon	bit.	-ik	-ek	-	远，远的，远处的
aikh	bit.	-ik	-ek	-	右，右侧，右边，右侧的，右边的
likh	bit.	-ik	-ek	-	左，左侧，左边，左侧的，左边的
aut	bit.	-ik	-ek	-	红，红的，红色的
qun	bit.	-ik	-ek	-	绿，绿的，绿色的
qeip	bit.	-ik	-ek	-	黄，黄的，黄色的
plais	bit.	-aub	-mis	-	白，白的，白色的；纯洁，纯洁的
bihtail	bit.	-aub	-is	-	黑，黑的，黑色的
mit	nem.	-ik	-ek	-oss	男，男性，男人
tin	nem.	-i	-e	-oss	女，女性，女人
sezz	nem.	-ik	-ek	-oss	人，人类，人群；群众，大众；人民
qaint	nem.	-aub	-mis	-on	孩子，儿童，小孩，小孩子
sien	nem.	-oit	-op	-	妻子，老婆，内人，爱人
bain	nem.	-oit	-op	-	丈夫，老公
bund	nem.	-oit	-op	-on	哥哥
lant	nem.	-out	-op	-on	弟弟
mutezz	nem.	-out	-op	-	母亲，母上
mam	nem.	-out	-op	-	妈妈
batezz	nem.	-out	-op	-	父亲，父上
bab	nem.	-out	-op	-	爸爸
amuzz	nem.	-ik	-ek	-on	动物，兽
pekio	nem.	-plaub	-mis	-ss	鱼，鱼肉，鱼类
bigel	nem.	-oit	-op	-oss	鸟，鸟肉，鸟类
undos	nem.	-oit	-op	-oss	狗，宠物狗，狗肉
hlank	nem.	-oit	-op	-oss	蛇，蛇肉
bom	nem.	-oit	-op	-oss	虫，虫子，飞虫，爬虫
baum	nem.	-ik	-ek	-ss	树，树木
bauman	nem.	-ik	-ek	-	树林
ssaido	nem.	-lit	-klop	-ss	棍，棍子，棒，棒子；杆
fuht	nem.	-i	-e	-on	果，水果，果子，果实
saman	nem.	-i	-e	-ss	种子
lat	nem.	-ik	-ek	-oss	叶，叶子，树叶，草叶，植物叶片
ut	nem.	-ik	-ek	-oss	根，根系
ints	nem.	-ik	-ek	-on	树皮
plepe	nem.	-lit	-klop	-ss	花，花朵
qas	nem.	-ik	-ek	-oss	草，青草，牧草
sili	nem.	-loit	-klop	-ss	绳子，绳索，细线，弦，琴弦，串，线，线条
hatu	nem.	-loit	-klop	-ss	皮肤，皮毛
blut	nem.	-oit	-op	-ss	肉，肉类，肉食
nottsin	nem.	-ik	-ek	-oss	骨，骨头，骨骼
pass	nem.	-ik	-ek	-on	脂肪，肥肉，油脂
alis	nem.	-ik	-ek	-on	蛋，鸡蛋
gonel	nem.	-ik	-ek	-on	角，犄角
sant	nem.	-aub	-is	-oss	尾巴，尾
pedol	nem.	-ik	-ek	-oss	羽，羽毛
hal	nem.	-ik	-ek	-oss	发，头发
qop	nem.	-ik	-ek	-oss	头，头颅，脑袋
dol	nem.	-ik	-ek	-oss	耳朵，耳
uges	nem.	-ik	-ek	-oss	眼睛，眼
nas	nem.	-ik	-ek	-oss	鼻子，鼻
munt	nem.	-ik	-ek	-oss	口，嘴巴，嘴
dud	nem.	-ik	-ek	-oss	牙，牙齿
donns	nem.	-ik	-ek	-oss	舌头，舌
